YearsExperience,rating_from_students
3,3.5
4,4.5
3,3.5
8,8
7,8.5
9,9.2
5,6.2
4,4.5
3,3.2
5,7.7
6,5.5
5,5.6
4,4.5
8,8.2
7,7.5
7,7.9
6,5.8
6,5.6
8,5.5
5,6.8
5,5.9
7,9.5
9,7.2
8,8.5
8.7,9.2
9,6.2
5,4.5
9.6,8.7
8,9.8
10.5,9.5
5,6.6
8,9.2
2,2.5
5,5.6
2,7.9
4,8.6
6,6.9
9,8.6
8,8.6
7,5.9
8,9.5
5,7.2
8,8.5
8,9.2
9,6.2
5,4.5
8,8.7
8,7.7
4,5.5
5,6.6
9,9.2
7,8.2
5,7.5
12,7.9
12,8.6
4,6.9
4,8.6
5,9.5
7,8.9
8,7.5
15,7.9
5,8.6
6,6.9
7,8.6
4,8.6
7,5.9
2,9.5
5,7.2
6,8.5
2,9.2
10,6.2
10,4.5
15,8.7
26,7.7
2,5.5
5,6.6
14,9.2
5,8.2
2,7.5
6,7.9
5,8.6
4,6.9
2,8.6
4,9.5
5,8.9
7,7.5
8,7.9
5,8.6
6,6.9
10,8.6
22,8.6
2,5.9
8,9.5
9,7.2
4,8.5
7,9.2
1,6.2
10,4.5
10,8.7
